Rank,Rating,Title,Votes
179,8.1,Donnie Darko (2001),"368,599"
180,8.1,Twelve Monkeys (1995),"290,716"
181,8.1,Dog Day Afternoon (1975),"115,746"
182,8.1,The 400 Blows (1959),"42,051"
183,8.1,Mary and Max (2009),"60,416"
184,8.1,Amores Perros (2000),"111,660"
185,8.1,The Bourne Ultimatum (2007),"295,463"
186,8.1,Persona (1966),"32,971"
187,8.1,Howl's Moving Castle (2004),"109,337"
188,8.1,Black Swan (2010),"340,804"
189,8.1,Gandhi (1982),"100,460"
190,8,The Killing (1956),"40,778"
191,8,The Graduate (1967),"137,422"
192,8,A Beautiful Mind (2001),"310,127"
193,8,The Princess Bride (1987),"191,791"
194,8,8_ (1963),"50,203"
195,8,Who's Afraid of Virginia Woolf? (1966),"34,680"
196,8,The Hustler (1961),"39,976"
197,8,La Strada (1954),"29,571"
198,8,Slumdog Millionaire (2008),"388,786"
199,8,Rocky (1976),"200,814"
200,8,Life of Pi (2012),"200,356"
201,8,Anatomy of a Murder (1959),"29,156"
202,8,The Manchurian Candidate (1962),"49,716"
203,8,The Hobbit: An Unexpected Journey (2012),"303,709"
204,8,The Exorcist (1973),"194,991"
205,8,Rope (1948),"59,737"
206,8,The Wild Bunch (1969),"47,269"
207,8,The Man Who Shot Liberty Valance (1962),"36,337"
208,8,Stalag 17 (1953),"30,740"
209,8,Barry Lyndon (1975),"64,052"
210,8,In the Name of the Father (1993),"58,004"
211,8,Infernal Affairs (2002),"58,866"
212,8,Sleuth (1972),"27,771"
213,8,Stalker (1979),"39,847"
214,8,Roman Holiday (1953),"57,721"
215,8,The Artist (2011/I),"120,184"
216,8,"Monsters, Inc. (2001)","290,898"
217,8,The Truman Show (1998),"364,074"
218,8,Pirates of the Caribbean: The Curse of the Black Pearl (2003),"475,428"
219,8,Memories of Murder (2003),"29,402"
220,8,A Fistful of Dollars (1964),"73,970"
221,8,Harry Potter and the Deathly Hallows: Part 2 (2011),"271,025"
222,8,Star Trek (2009),"317,708"
223,8,District 9 (2009),"346,900"
224,8,Ip Man (2008),"75,709"
225,8,Ratatouille (2007),"286,187"
226,8,Jurassic Park (1993),"310,030"
227,8,The Diving Bell and the Butterfly (2007),"63,538"
228,8,A Streetcar Named Desire (1951),"55,834"
229,8,La Haine (1995),"57,598"
230,8,Shutter Island (2010),"390,498"
231,8,All Quiet on the Western Front (1930),"35,285"
232,8,Rain Man (1988),"248,003"
233,8,3 Idiots (2009),"69,848"
234,8,Beauty and the Beast (1991),"170,962"
235,8,Incendies (2010),"31,651"
236,8,Nausicaa of the Valley of the Wind (1984),"47,991"
237,8,Rosemary's Baby (1968),"94,700"
238,8,Like Stars on Earth (2007),"31,380"
239,8,Harvey (1950),"34,397"
240,8,Papillon (1973),"55,678"
241,8,Mystic River (2003),"234,310"
242,7.9,Manhattan (1979),"71,126"
243,7.9,The Untouchables (1987),"152,716"
244,7.9,"Spring, Summer, Fall, Winter... and Spring (2003)","38,532"
245,7.9,Nosferatu (1922),"49,200"
246,7.9,The Celebration (1998),"43,066"
247,7.9,Three Colors: Red (1994),"39,541"
248,7.9,Big Fish (2003),"263,070"
249,7.9,The Perks of Being a Wallflower (2012),"131,765"
250,7.9,Arsenic and Old Lace (1944),"42,307"
